NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;;No. Induk;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Abstrak Perundang Undangan RI (UU, PP & KEPPRES);dihimpun oleh : Biro Hukum Dan Hubungan Luar Negeri;Kejaksaan Agung R.I.;Jakarta;1996;;;;;;5E;2;;;;;;ada;;;;;;;;
2;Abstraksi Himpunan Peraturan Tentang Tugas Dan Wewenang Kejaksaan RI;Yunan Sawidji, S.H. , Ramelan, S.H. , et al.;Kejaksaan Agung R.I.;Jakarta;1998;;;;;;6D;6;;348;AGU;s;;ada;;;;;;;;
3;Administrasi Kependudukan // Undang-undang RI No.23 Tahun 2006;--;Fokusmedia;Bandung;2007;;;;1.-;;4F;;;;;;;ada;;;;;;;;
4;Administrasi Perkara Tindak Pidana Khusus // Keputusan Jaksa Agung RI No. : KEP-088/J.A/8/1988;--;Kejaksaan Agung R.I.;Jakarta;1988;;;;;;6F;;;;;;;ada;;;;;;;;
5;Adopsi // Suatu Tinjauan Dari Tiga Sistem Hukum;Muderis Zaini, S.H.;Sinar Grafika;Jakarta;2002;979-8767-13-6;;;4.-;;6E;;;;;;;ada;;;;;;;;
6;Adopsi // Suatu Tinjauan Dari Tiga Sistem Hukum;Muderis Zaini, S.H.;Sinar Grafika;Jakarta;2006;979-8767-13-6;;;5.-;;6E;;;;;;;ada;;;;;;;;
;Afdoening Buiten proses : studi mendalam tentang mekanisme dan implikasinya dalam sistem peradilan pidana Indonesia;Dr.Rudi Margono,SH.M.Hum;Yayasan Putra Adi Dharma;Yogyakarta;2024;978-634-700467-3;;;1.-;;2A;;;345;MAR;;;ada;;;;;;;;
7;Agama Dan Modernisasi Politik (Suatu Kajian Analitis);Donald Eugene Smith;Rajawali Pers;Jakarta;1985;;;;1.-;354;1E;;23;297.6;SMI;;;ada;y;;;;;;;
;Ajaran Pemidanaan : Tindak Pidana Korporasi & Seluk - Beluknya;Prof. Dr. Sutan Remy Sjahdeini, S.H.;Kencana;Depok;2017;978-602-422-134-8;;;2.-;;3E;;;614,5;REM;S;;ada;;;;;;;;
8;Ajaran Sifat Melawan-Hukum Material Dalam Hukum Pidana Indonesia (Studi Kasus Tentang Penerapan Dan Perkembangannya Dalam Yurisprudensi);Dr. Ny. Komariah Emong Sapardjaja, S.H.;PT. Alumni;Bandung;2002;979-414-008-2;;1.,;1.-;306;2A;;20,5;345;SAP;;;ada;y;;;;;;;
9;Akhlak // Menurut Al Qur'an Dan Hadis Nabi S.A.W.;Prof. H. Mahmud Yunus;PT. Hidakarya Agung;Jakarta;1983;;;;1.-;;7A;;;;;;;ada;;;;;;;;
10;Akhlak // Menurut Al Qur'an Dan Hadis Nabi S.A.W.;Prof. H. Mahmud Yunus;PT. Hidakarya Agung;Jakarta;1986;;;;2.-;;7A;;;;;;;ada;;;;;;;;
11;Aktualita Hukum Dalam Era Reformasi;Bambang Sutiyoso, S.H., M.Hum.;PT. Rajagrafindo Persada;Jakarta;2004;979-3654-06-6;;;1.-;350;1B;;20,5;340;SUT;;;ada;;n;;;;;;
12;Akuntansi Pajak Sesuai Dengan Undang-undang Pajak Baru;Dr. Gunadi, M.Sc., Akt;Grasindo;Jakarta;1997;;;;;;5F;;;637.46;GUN;;;ada;;;;;;;;
13;Aliran-aliran Filsafat Islam // Mu'tazilah, Asy'ariyyah, Maturidiyyah, Thahawiyyah, Zhahiriyyah, Ihwan Al-Shafa;M.M. Sharif, M.A. (ed.);Nuansa Cendekia;Bandung;2004;979-9481-36-8;;;1.-;232;1E;;21;297.61;SHA;B;;ada;y;;;;;;;
14;Al-Farabi // Filosof Politik Muslim;Yamani;Penerbit Teraju;Jakarta;2005;;;;;;7A;;;;;;;ada;;;;;;;;
15;Al-Qur'an;--;Depag R.I.;Jakarta;1978;;;;;;7A;2;;;;;;ada;;;;;;;;
16;Alternatif Penyelesaian Sengketa (Seri Hukum Bisnis);Gunawan Widjaja;PT. Rajagrafindo Persada;Jakarta;2002;979-421-838-3;;1.,;2,-;xii, 234;3A;;21;650.026;WID;S;;ada;;;;;;;;
17;Alumni FEUI Dan Tantangan Masa Depan // Beragam Pemikiran;Drs. Gunaevy H. Djajasasmita, et. al.;PT. Gramedia Pustaka Utama;Jakarta;1995;;;;;;10B;;;;;;;ada;;;;;;;;
;Amanah Mengabdi Di Tanah Wiralodra;AKBP. H. Wijonarko, SIK, MSI;Citra Mandiri Utama;Semarang;2016;978-602-74507-0-7;;;;;7C;;;920;WIJ;S;;ada;;;;;;;;
18;Analisa Yuridis Terhadap Penetapan Tersangka Dalam Pra Peradilan;"Mangasi Situmeang, S.H., L.L.M. ; BD. Sri Marsita, S.H. ; dkk.";Miswar;Jakarta;2016;978-602-6532-13-8;;;;116;5B;3;21;345.072;SIT;S;;ada;;;;;;;;
19;Analisis Kebijakan Publik Kontemporer;Drs. Hessel Nogi S. Tangkilisan, M.Si.;Lukman Offset;Yogyakarta;20;979-8515-27-7;;;;94;1B;;21,5;342.6;NOG;B;;ada;y;;;;;;;
20;Anda Bermaksud Menjadi Sarjana Hukum? // Berbagai Karier Dalam Profesi Hukum;"Effendi Perangin, S.H. ; Abu Dinar, S.H.";Rajawali Pers;Jakarta;1992;;;;;;5F;;;;;;;ada;;;;;;;;
21;Aneka Desain Pagar Batu Alam;Adityarini Natalisa;Penebar Swadaya;Jakarta;2006;;;;;;10A;;;;;;;ada;;;;;;;;
22;Aneka Desain Pagar Besi;Adityarini Natalisa;Penebar Swadaya;Jakarta;2006;;;;2,-;;10A;;;;;;;ada;;;;;;;;
23;Aneka Masalah Hukum Perdata Islam Di Indonesia;Prof. Dr. H. Abdul Manan, S.H., S.IP., M.Hum.;Kencana;Jakarta;2008;979-3925-57-4;;1.,;2.-;324;1E;;23;297.44;MAN;;;ada;y;;;;;;;
24;Aneka Perjanjian;Prof. R. Subekti, S.H.;PT. Citra Aditya Bakti;Bandung;1995;979-414-125-9;;;10.-;x, 204;3F;;20,5;341;SUB;;;ada;;;;;;;;
25;Aneka Perkara Indonesia Diluar Negeri;Prof. Mr. Dr. Sudargo Gautama;PT. Alumni ;Bandung;2009;979-414-095-3;;2.,;2.-;357;2D;;21;345;GAU;;;ada;y;;;;;;;
26;Anggur  // Seri Budi Daya;H. Rahmat Rukmana;Penerbit Kanisius;Yogyakarta;2006;;;;;;10E;;;;;;;ada;;;;;;;;
27;Anggur Dalam Pot;Eko M. Nurcahyo;Penebar Swadaya;Jakarta;2006;;;;;;10E;;;;;;;ada;;;;;;;;
